project,test,match_status,exception_type,category,message
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testAsyncMethodExpressionOnSpringBean,matched (1 report(s) available),org.activiti.engine.ActivitiException,Other (ActivitiException),time limit of 5000 was exceeded
activiti-activiti,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest#testHappyJobExecutorPath,matched (15 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testAsyncExecutorDisabledOnOneEngine,matched (6 report(s) available),java.lang.AssertionError,Assertion Failure,expected:<1> but was:<2>
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testRegularAsyncExecution,matched (1 report(s) available),java.lang.AssertionError,Assertion Failure,expected:<1> but was:<0>
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testAsyncFailingScript,matched (15 report(s) available),java.lang.AssertionError,Assertion Failure,expected:<3> but was:<4>
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testDelayedActivateProcessDefinition,matched (1 report(s) available),org.apache.ibatis.exceptions.PersistenceException,Other (PersistenceException),"
### Error updating database.  Cause: org.h2.jdbc.JdbcSQLException: Referential integrity constraint violation: ""ACT_FK_TIMER_JOB_PROC_DEF: PUBLIC.ACT_RU_TIMER_JOB FOREIGN KEY(PROC_DEF_ID_) REFERENCES PUBLIC.ACT_RE_PROCDEF(ID_) ('oneTaskProcess:1:4156')""; SQL statement:
delete from ACT_RE_PROCDEF where DEPLOYMENT_ID_ = ? [23503-197]
### The error may involve org.activiti.engine.impl.persistence.entity.ProcessDefinitionEntityImpl.deleteProcessDefinitionsByDeploymentId-Inline
### The error occurre"
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testSuspendProcessInstancesDuringProcessDefinitionSuspend,matched (1 report(s) available),org.activiti.engine.ActivitiException,Other (ActivitiException),Query return 2 results instead of max 1
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testDelayedSuspendMultipleProcessDefinitionsByKey,matched (1 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,expected:<5> but was:<4>
activiti-activiti,org.activiti.engine.test.jobexecutor.JobExecutorTest#testBasicJobExecutorOperation,matched (46 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,"expected:<[message-four, message-one, message-three, message-two, timer-one, timer-two]> but was:<[message-four, message-one, message-three, message-two, timer-one]>"
activiti-activiti,org.activiti.engine.test.bpmn.gateway.EventBasedGatewayTest#testCatchTimerCancelsSignal,matched (3 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,expected:<0> but was:<1>
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.StartTimerEventRepeatWithEndTest#testCycleDateStartTimerEvent,matched (1 report(s) available),java.lang.NullPointerException,Null Pointer,
activiti-activiti,org.activiti.engine.test.jobexecutor.JobExecutorExceptionsTest#testQueryByExceptionWithRealJobExecutor,matched (1 report(s) available),org.activiti.engine.ActivitiException,Other (ActivitiException),time limit of 5000 was exceeded
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.compatibility.StartTimerEventRepeatCompatibilityTest#testCycleDateStartTimerEvent,matched (2 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,expected:<10> but was:<11>
activiti-activiti,org.activiti.engine.test.bpmn.event.end.TerminateEndEventTest#testTerminateInSubProcessWithBoundary,matched (18 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,Expected finished process instance '39452' but it was still in the db
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest#testExpressionOnTimer,matched (46 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,expected:<0> but was:<1>
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest#testMultipleTimersOnUserTask,matched (47 report(s) available),junit.framework.AssertionFailedError,Assertion Failure,expected:<0> but was:<3>
