project,test,match_status,exception_type,message,stack_trace
Alluxio-alluxio,tachyon.MasterFaultToleranceTest#getClientsTest,matched (88 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.MasterClient.worker_register(MasterClient.java:691)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:266)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonClusterMultiMaster.start(LocalTachyonClusterMultiMaster.java:197)
	at tachyon.MasterFaultToleranceTest.before(MasterFaultToleranceTest.java:28)"
Alluxio-alluxio,tachyon.MasterFaultToleranceTest#faultTest,matched (109 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonClusterMultiMaster.start(LocalTachyonClusterMultiMaster.java:197)
	at tachyon.MasterFaultToleranceTest.before(MasterFaultToleranceTest.java:28)"
Alluxio-alluxio,tachyon.MasterInfoTest#createFileTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteFileTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteDirectoryWithDirectoriesTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#lsTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#addCheckpointTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#notFileCheckpointTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#createFilePerfTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#createDirectoryTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
