Test: com.squareup.okhttp.internal.http.ResponseCacheTest#clientSuppliedConditionWithoutCachedResult
STATUS: parsed successfully
Summary: 0 branch point(s), 12 method call(s), 11 unique method(s) called

(no branches -- single straight-line execution path)

Calls NOT inside any branch (always run):
  assertEquals: called 2x (line(s): 8, 9)
  server.enqueue: called 1x (line(s): 2)
  MockResponse: called 1x (line(s): 2)
  setResponseCode: called 1x (line(s): 2)
  server.play: called 1x (line(s): 3)
  openConnection: called 1x (line(s): 5)
  server.getUrl: called 1x (line(s): 5)
  formatDate: called 1x (line(s): 6)
  connection.addRequestProperty: called 1x (line(s): 7)
  connection.getResponseCode: called 1x (line(s): 8)
  readAscii: called 1x (line(s): 9)
